Parent_Site,Lokasi,Kecamatan,Label,Kelas_Detail,Confidence,Latitude,Longitude,N_Pixel,B2,B3,B4,B8,B11,B12,NDVI,NDWI,PC1,PC2,Distance_Own_Class,Distance_Other_Class,Other_Class_Closer,Max_Abs_Robust_Z,Spectral_Outlier,Medium_Confidence,QC_Reason,QC_Status,Centroid_Margin
NB001,Kantor Kecamatan,Sukomoro,0,Permukiman/Bangunan,High,-7.59853457801759,111.9422565733922,1,0.0487499982118606,0.0687000006437301,0.0677499994635582,0.1946000009775161,0.1576499938964843,0.100050002336502,0.4685966372489929,-0.482598215341568,-0.5499329198194464,-0.25177487440429813,0.724240642456097,0.8853100006953663,False,0.4267901523566968,False,False,OK,OK,0.16106935823926927
NB002,Gudang Warga,Sukomoro,0,Bangunan,High,-7.596109126750467,111.94153792116492,1,0.0535000003874301,0.0645499974489212,0.065600000321865,0.1342500001192093,0.1358499974012375,0.090549997985363,0.3346187174320221,-0.3617454469203949,-0.5308412568378716,-1.637899682554529,1.2150164976370534,2.0059940674407066,False,1.0984610640596324,False,False,OK,OK,0.7909775698036532
NB003,Lahan Tebu,Gondang,0,Tebu,High,-7.472141617541973,111.9610313628303,9,0.0288999993354082,0.0452499985694885,0.0302499998360872,0.225600004196167,0.1826999932527542,0.0842999964952468,0.7671794891357422,-0.6667720675468445,-2.7963126896414936,1.3543127437226685,2.8637110501450698,3.2447919168974404,False,1.1957048077642947,False,False,OK,OK,0.38108086675237063
NB004,Sawah Padi,Gondang,0,Padi,High,-7.485167189161706,111.95869574309158,9,0.0381000004708766,0.0568000003695488,0.0462500005960464,0.2458000034093856,0.2268999963998794,0.1196499988436698,0.7161571979522705,-0.6259145140647888,-1.4097072877744745,1.7892842254533845,2.5402106526250012,2.3757613807206654,True,1.5868670465502834,False,False,lebih dekat ke centroid kelas lain,REVIEW,-0.16444927190433578
NB005,Jalan Barat,Bagor,0,Jalan,High,-7.575268212158894,111.85916240961114,1,0.0637499988079071,0.0776999965310096,0.0776999965310096,0.1526499986648559,0.1269499957561493,0.090549997985363,0.3442324101924896,-0.3306598663330078,0.2593963865680927,-1.6340951946350883,1.6603227769604094,1.8597841266885267,False,1.0337744000040188,False,False,OK,OK,0.19946134972811724
NB006,Jalan Timur,Sukomoro,0,Jalan,High,-7.594222664653817,111.94809562273898,1,0.0773999989032745,0.097800001502037,0.0922000035643577,0.2445999979972839,0.226500004529953,0.179199993610382,0.4399502277374267,-0.4269924461841583,2.3734283655989494,0.8145032595581101,3.506056146757498,2.3392815791953385,True,5.467685503617836,True,False,lebih dekat ke centroid kelas lain; outlier spektral,REVIEW,-1.1667745675621597
NB007,Hutan Jati,Rejoso,0,Hutan Jati,High,-7.491455396150544,111.88422540603808,9,0.0289999991655349,0.0377999991178512,0.0276999995112419,0.0163000002503395,0.0151000004261732,0.0124000003561377,-0.3626373708248138,0.46875,-2.251710613709459,-7.60719598274311,7.459267890369922,8.516151281526222,False,5.402516836377324,True,False,outlier spektral,REVIEW,1.0568833911562994
NB008,Hutan Rimba,Gondang,0,Hutan,High,-7.4452819905468,111.94549050841503,9,0.0412000007927417,0.0630000010132789,0.050000000745058,0.2928000092506408,0.2010000050067901,0.1049999967217445,0.7276214957237244,-0.6595744490623474,-1.3504975087526088,2.054912551807707,2.8333248759390934,2.5075239845888975,True,1.1976629447892413,False,False,lebih dekat ke centroid kelas lain,REVIEW,-0.32580089135019596
BW001,Utara Jalan Raya Sukomoro,Sukomoro,1,Bawang Merah,High,-7.585059848755797,111.93524971417608,1,0.0723000019788742,0.0856499969959259,0.0926000028848648,0.1860000044107437,0.3048999905586242,0.2890999913215637,0.3323848843574524,-0.373222678899765,3.2942194479356535,1.0692303647083636,4.3257974290894845,5.133159293877509,False,4.648476550980076,True,False,outlier spektral,REVIEW,0.8073618647880245
BW002,Persawahan Desa Nglundo,Sukomoro,1,Bawang Merah,High,-7.586317490153564,111.9482752857958,1,0.0517500005662441,0.0617999993264675,0.0603000000119209,0.0949999988079071,0.0999500006437301,0.0687500014901161,0.2161711752414703,-0.2376575767993927,-0.858726167443417,-2.947778912721275,3.3135869867885126,2.382650686835694,True,2.6361605990619625,False,False,lebih dekat ke centroid kelas lain,REVIEW,-0.9309362999528186
BW003,Selatan Stasiun Sukomoro,Sukomoro,1,Bawang Merah,High,-7.595390474523172,111.94611932911393,1,0.0577999986708164,0.0707999989390373,0.0697999969124794,0.1378999948501587,0.1105000004172325,0.0724000036716461,0.3222835958003998,-0.2898876368999481,-0.37165980910709645,-2.116257584912864,2.369453119952252,1.6910527891657194,True,1.6536125289136863,False,False,lebih dekat ke centroid kelas lain,REVIEW,-0.6784003307865327
BW004,Area Timur Pasar Sukomoro,Sukomoro,1,Bawang Merah,High,-7.597546431205059,111.94719730745486,1,0.0577999986708164,0.0745000019669532,0.0711999982595443,0.1678999960422516,0.1151499971747398,0.0719999969005584,0.419687420129776,-0.3980297446250915,-0.41731448669905935,-1.3131771860892432,1.7679152789073633,1.350444063577046,True,1.3727210405976848,False,False,lebih dekat ke centroid kelas lain,REVIEW,-0.4174712153303173
BW005,Persawahan Desa Kapas,Sukomoro,1,Bawang Merah,High,-7.605182111120074,111.9384836491989,1,0.0555999986827373,0.0786999985575676,0.0785999968647956,0.1974000036716461,0.1713999956846237,0.1103999987244606,0.4050343334674835,-0.4196676015853882,0.3350174475115384,-0.4030552726506387,0.6345082083113576,1.2544270440707286,False,0.4012247890761623,False,False,OK,OK,0.619918835759371
BW006,Blok Pertanian Kapas Barat,Sukomoro,1,Bawang Merah,High,-7.606349920989429,111.93641752404542,1,0.0720499977469444,0.094650000333786,0.1070000007748603,0.271450012922287,0.2212000042200088,0.1356000006198883,0.2916136384010315,-0.4266977906227112,2.2494567973550335,0.46450701510829207,2.368368837929729,3.4475902790580744,False,1.7969303431093298,False,False,OK,OK,1.0792214411283454
BW007,Sawah Desa Bungur,Sukomoro,1,Bawang Merah,High,-7.581197093034083,111.94010061671032,1,0.0473500005900859,0.0636999979615211,0.0582000017166137,0.231900006532669,0.1931000053882599,0.1339000016450882,0.5977163910865784,-0.5719962120056152,-0.65539931057395,1.054221059169494,1.3186003360893548,1.7399826610186544,False,1.0847178058779823,False,False,OK,OK,0.4213823249292996
BW008,Perbatasan Nganjuk Kota,Sukomoro,1,Bawang Merah,Medium,-7.583442881244382,111.93147678998275,1,0.0675999969244003,0.0843999981880188,0.0970000028610229,0.1655000001192093,0.1504999995231628,0.1096000000834465,0.2242990583181381,-0.3263157904148102,1.2759749519805943,-1.5456089422913641,2.0801800033909257,2.3825229028715946,False,1.4763926082633247,False,True,confidence medium,REVIEW,0.30234289948066895
