Parent_Site,Lokasi,Kecamatan,Label,Kelas_Detail,Confidence,Latitude,Longitude,N_Pixel,B2,B3,B4,B8,B11,B12,NDVI,NDWI,Bawang_Spectral_Distance,Positive_Spectral_Outlier,Hard_Negative,QC_Final_Status,Use_For_Training
BW013,Sawah Desa Mlorah,Rejoso,1,Bawang Merah,Medium,-7.551193362544491,111.87560157931053,1,0.1155000030994415,0.1353999972343444,0.1445000022649765,0.2504000067710876,0.2343000024557113,0.1794500052928924,0.2448073476552963,-0.2980819046497345,7.529216060145096,True,False,REVIEW_PRIORITY,False
BW016,Pertanian Klagen,Rejoso,1,Bawang Merah,Medium,-7.538077959396346,111.88341692228236,1,0.1115999966859817,0.1252000033855438,0.1418000012636184,0.2110999971628189,0.2624000012874603,0.2245000004768371,0.1889608502388,-0.2537577450275421,7.374242980916604,True,False,REVIEW_PRIORITY,False
BW037,Blok Timur Karangsemi,Gondang,1,Bawang Merah,Medium,-7.497204613968908,111.96013304754618,1,0.0295000001788139,0.0483999997377395,0.033900000154972,0.2842000126838684,0.2113000005483627,0.1042999997735023,0.7776315808296204,-0.7090250253677368,3.9689975757277995,False,False,KEEP_MEDIUM,True
BW039,Area Pertanian Kedungglugu,Gondang,1,Bawang Merah,Medium,-7.465134758325841,111.96121102588712,1,0.0604999996721744,0.0843999981880188,0.0794000029563903,0.2836000025272369,0.2939999997615814,0.1801500022411346,0.5273855924606323,-0.523792564868927,3.106924116426229,False,False,KEEP_MEDIUM,True
BW033,Pertanian Desa Campur,Gondang,1,Bawang Merah,Medium,-7.481214601911581,111.95258719915957,1,0.0538000017404556,0.0727000012993812,0.0882000029087066,0.2377000004053115,0.3088000118732452,0.1923999935388565,0.4241823554039001,-0.4650478363037109,2.972256556393255,False,False,KEEP_MEDIUM,True
BW008,Perbatasan Nganjuk Kota,Sukomoro,1,Bawang Merah,Medium,-7.583442881244382,111.93147678998275,1,0.0675999969244003,0.0843999981880188,0.0970000028610229,0.1655000001192093,0.1504999995231628,0.1096000000834465,0.2242990583181381,-0.3263157904148102,2.5415391359910884,False,False,KEEP_MEDIUM,True
BW018,Sawah Perbatasan Bagor,Rejoso,1,Bawang Merah,Medium,-7.555415444379853,111.8724574758161,1,0.0564499981701374,0.0686499997973442,0.0635500028729438,0.1713999956846237,0.0917500033974647,0.0551999993622303,0.4513504207134247,-0.4299062490463257,2.00597317524265,False,False,KEEP_MEDIUM,True
BW025,Blok Timur Bagor,Bagor,1,Bawang Merah,Medium,-7.575627538272542,111.86823539398075,1,0.0531999990344047,0.0693999975919723,0.0737999975681305,0.1847999989986419,0.1509000062942505,0.1049999967217445,0.4217067062854767,-0.4143459796905517,0.8358165221145498,False,False,KEEP_MEDIUM,True
NB003,Lahan Tebu,Gondang,0,Tebu,High,-7.472141617541973,111.9610313628303,9,0.0288999993354082,0.0452499985694885,0.0302499998360872,0.225600004196167,0.1826999932527542,0.0842999964952468,0.7671794891357422,-0.6667720675468445,3.65269596123908,False,True,KEEP_HARD_NEGATIVE,True
NB006,Jalan Timur,Sukomoro,0,Jalan,High,-7.594222664653817,111.94809562273898,1,0.0773999989032745,0.097800001502037,0.0922000035643577,0.2445999979972839,0.226500004529953,0.179199993610382,0.4399502277374267,-0.4269924461841583,3.283213257699724,False,True,KEEP_HARD_NEGATIVE,True
NB008,Hutan Rimba,Gondang,0,Hutan,High,-7.4452819905468,111.94549050841503,9,0.0412000007927417,0.0630000010132789,0.050000000745058,0.2928000092506408,0.2010000050067901,0.1049999967217445,0.7276214957237244,-0.6595744490623474,2.9137908994954187,False,True,KEEP_HARD_NEGATIVE,True
NB004,Sawah Padi,Gondang,0,Padi,High,-7.485167189161706,111.95869574309158,9,0.0381000004708766,0.0568000003695488,0.0462500005960464,0.2458000034093856,0.2268999963998794,0.1196499988436698,0.7161571979522705,-0.6259145140647888,2.7135431406074932,False,True,KEEP_HARD_NEGATIVE,True
NB005,Jalan Barat,Bagor,0,Jalan,High,-7.575268212158894,111.85916240961114,1,0.0637499988079071,0.0776999965310096,0.0776999965310096,0.1526499986648559,0.1269499957561493,0.090549997985363,0.3442324101924896,-0.3306598663330078,2.103104641670588,False,True,KEEP_HARD_NEGATIVE,True
NB002,Gudang Warga,Sukomoro,0,Bangunan,High,-7.596109126750467,111.94153792116492,1,0.0535000003874301,0.0645499974489212,0.065600000321865,0.1342500001192093,0.1358499974012375,0.090549997985363,0.3346187174320221,-0.3617454469203949,1.9792103684375244,False,True,KEEP_HARD_NEGATIVE,True
NB001,Kantor Kecamatan,Sukomoro,0,Permukiman/Bangunan,High,-7.59853457801759,111.9422565733922,1,0.0487499982118606,0.0687000006437301,0.0677499994635582,0.1946000009775161,0.1576499938964843,0.100050002336502,0.4685966372489929,-0.482598215341568,0.7132106874996601,False,True,KEEP_HARD_NEGATIVE,True
BW001,Utara Jalan Raya Sukomoro,Sukomoro,1,Bawang Merah,High,-7.585059848755797,111.93524971417608,1,0.0723000019788742,0.0856499969959259,0.0926000028848648,0.1860000044107437,0.3048999905586242,0.2890999913215637,0.3323848843574524,-0.373222678899765,4.8239345402884535,False,False,KEEP_HIGH,True
BW036,Persawahan Ngujung,Gondang,1,Bawang Merah,High,-7.488131629599301,111.94836511732422,1,0.0260000005364418,0.0449000000953674,0.0289999991655349,0.2861999869346618,0.2047999948263168,0.096900001168251,0.8113207817077637,-0.7222394347190857,4.370611533532749,False,False,KEEP_HIGH,True
BW026,Sawah Desa Ngumpul,Bagor,1,Bawang Merah,High,-7.568081689885938,111.86338449144652,1,0.033050000667572,0.0577000007033348,0.0366499982774257,0.324999988079071,0.2027000039815902,0.1092500016093254,0.8064593076705933,-0.7008544206619263,4.071626814352514,False,False,KEEP_HIGH,True
BW040,Sawah Dekat Hutan,Gondang,1,Bawang Merah,High,-7.459744866621124,111.95833641697794,1,0.0255999993532896,0.045499999076128,0.0273000001907348,0.2414000034332275,0.1817000061273574,0.0825999975204467,0.796875,-0.6829268336296082,4.026646636031508,False,False,KEEP_HIGH,True
BW002,Persawahan Desa Nglundo,Sukomoro,1,Bawang Merah,High,-7.586317490153564,111.9482752857958,1,0.0517500005662441,0.0617999993264675,0.0603000000119209,0.0949999988079071,0.0999500006437301,0.0687500014901161,0.2161711752414703,-0.2376575767993927,3.4449326015245125,False,False,KEEP_HIGH,True
BW017,Blok Barat Rejoso,Rejoso,1,Bawang Merah,High,-7.546162796953422,111.8791050089186,1,0.0313999988138675,0.046799998730421,0.034400001168251,0.2205000072717666,0.1497000008821487,0.0807000026106834,0.7230614423751831,-0.6357552409172058,3.3012504644720377,False,False,KEEP_HIGH,True
BW028,Sawah Barat Timbangan,Bagor,1,Bawang Merah,High,-7.57643602202825,111.86050988253731,1,0.0763000026345253,0.0962999984622001,0.1071999967098236,0.1891999989748001,0.2008000016212463,0.134100005030632,0.279458224773407,-0.3272343277931213,3.187412753731605,False,False,KEEP_HIGH,True
