Sample_ID,Parent_Site,Lokasi,Kecamatan,Latitude,Longitude,Input_Latitude,Input_Longitude,Label,Kelas_Detail,Confidence,Sumber_GT,Raster_Row,Raster_Col,Pixel_ID,B2,B3,B4,B8,B11,B12,NDVI,NDWI,Samples_Per_Site,Site_Weight,Confidence_Weight,Raw_Sample_Weight,QC_Status,QC_Reason,Centroid_Margin,Max_Abs_Robust_Z,Other_Class_Closer,Spectral_Outlier
NB001_P01,NB001,Kantor Kecamatan,Sukomoro,-7.59853457801759,111.9422565733922,-7.59853457801759,111.9422565733922,0,Permukiman/Bangunan,High,Ground Truth Negatif V4,2277,2414,2277_2414,0.0487499982118606,0.0687000006437301,0.0677499994635582,0.1946000009775161,0.1576499938964843,0.100050002336502,0.4685966372489929,-0.482598215341568,1,1.0,1.0,1.0,OK,OK,0.16106935823926927,0.4267901523566968,False,False
NB002_P01,NB002,Gudang Warga,Sukomoro,-7.596109126750467,111.94153792116492,-7.596109126750467,111.94153792116492,0,Bangunan,High,Ground Truth Negatif V4,2250,2406,2250_2406,0.0535000003874301,0.0645499974489212,0.065600000321865,0.1342500001192093,0.1358499974012375,0.090549997985363,0.3346187174320221,-0.3617454469203949,1,1.0,1.0,1.0,OK,OK,0.7909775698036532,1.0984610640596324,False,False
NB003_P01,NB003,Lahan Tebu,Gondang,-7.472051786013561,111.96094153130188,-7.472051786013561,111.96094153130188,0,Tebu,High,Ground Truth Negatif V4,869,2622,869_2622,0.0308500006794929,0.0527999997138977,0.0333000011742115,0.2529999911785126,0.1826999932527542,0.0837500020861625,0.7721434831619263,-0.6653987169265747,9,0.1111111111111111,1.0,0.1111111111111111,OK,OK,0.38108086675237063,1.1957048077642947,False,False
NB003_P02,NB003,Lahan Tebu,Gondang,-7.472051786013561,111.9610313628303,-7.472051786013561,111.9610313628303,0,Tebu,High,Ground Truth Negatif V4,869,2623,869_2623,0.0308999996632337,0.0505499988794326,0.0324000008404254,0.2405499964952469,0.1819500029087066,0.0842999964952468,0.7671794891357422,-0.6600341796875,9,0.1111111111111111,1.0,0.1111111111111111,OK,OK,0.38108086675237063,1.1957048077642947,False,False
NB003_P03,NB003,Lahan Tebu,Gondang,-7.472051786013561,111.96112119435873,-7.472051786013561,111.96112119435873,0,Tebu,High,Ground Truth Negatif V4,869,2624,869_2624,0.0320000015199184,0.0511500015854835,0.033950001001358,0.23989999294281,0.1819500029087066,0.0842999964952468,0.7582619190216064,-0.6563350558280945,9,0.1111111111111111,1.0,0.1111111111111111,OK,OK,0.38108086675237063,1.1957048077642947,False,False
NB003_P04,NB003,Lahan Tebu,Gondang,-7.472141617541974,111.96094153130188,-7.472141617541974,111.96094153130188,0,Tebu,High,Ground Truth Negatif V4,870,2622,870_2622,0.0269499998539686,0.0452499985694885,0.0302499998360872,0.2222499996423721,0.1826999932527542,0.0837500020861625,0.7667980790138245,-0.6667720675468445,9,0.1111111111111111,1.0,0.1111111111111111,OK,OK,0.38108086675237063,1.1957048077642947,False,False
NB003_P05,NB003,Lahan Tebu,Gondang,-7.472141617541974,111.9610313628303,-7.472141617541974,111.9610313628303,0,Tebu,High,Ground Truth Negatif V4,870,2623,870_2623,0.0298500005155801,0.0456999987363815,0.0293000005185604,0.2175499945878982,0.1819500029087066,0.0842999964952468,0.7626084089279175,-0.6574995517730713,9,0.1111111111111111,1.0,0.1111111111111111,OK,OK,0.38108086675237063,1.1957048077642947,False,False
NB003_P06,NB003,Lahan Tebu,Gondang,-7.472141617541974,111.96112119435873,-7.472141617541974,111.96112119435873,0,Tebu,High,Ground Truth Negatif V4,870,2624,870_2624,0.0288999993354082,0.0435499995946884,0.0322999991476535,0.2267999947071075,0.1819500029087066,0.0842999964952468,0.7568398714065552,-0.677782416343689,9,0.1111111111111111,1.0,0.1111111111111111,OK,OK,0.38108086675237063,1.1957048077642947,False,False
NB003_P07,NB003,Lahan Tebu,Gondang,-7.472231449070385,111.96094153130188,-7.472231449070385,111.96094153130188,0,Tebu,High,Ground Truth Negatif V4,871,2622,871_2622,0.026350000873208,0.0414500012993812,0.0283000003546476,0.225600004196167,0.1960999965667724,0.0967999994754791,0.7757735252380371,-0.6859557032585144,9,0.1111111111111111,1.0,0.1111111111111111,OK,OK,0.38108086675237063,1.1957048077642947,False,False
NB003_P08,NB003,Lahan Tebu,Gondang,-7.472231449070385,111.9610313628303,-7.472231449070385,111.9610313628303,0,Tebu,High,Ground Truth Negatif V4,871,2623,871_2623,0.0272000003606081,0.0399999991059303,0.025450000539422,0.2214999943971634,0.1910499930381775,0.0920500010251998,0.7811451554298401,-0.6861312389373779,9,0.1111111111111111,1.0,0.1111111111111111,OK,OK,0.38108086675237063,1.1957048077642947,False,False
NB003_P09,NB003,Lahan Tebu,Gondang,-7.472231449070385,111.96112119435873,-7.472231449070385,111.96112119435873,0,Tebu,High,Ground Truth Negatif V4,871,2624,871_2624,0.025900000706315,0.0411499999463558,0.0275999996811151,0.224600002169609,0.1910499930381775,0.0920500010251998,0.7794225811958313,-0.6924239993095398,9,0.1111111111111111,1.0,0.1111111111111111,OK,OK,0.38108086675237063,1.1957048077642947,False,False
NB004_P01,NB004,Sawah Padi,Gondang,-7.485077357633294,111.95860591156315,-7.485077357633294,111.95860591156315,0,Padi,High,Ground Truth Negatif V4,1014,2596,1014_2596,0.0355999991297721,0.0529000014066696,0.0394000001251697,0.2458000034093856,0.2302999943494796,0.1240999996662139,0.738726794719696,-0.6499657034873962,9,0.1111111111111111,1.0,0.1111111111111111,REVIEW,lebih dekat ke centroid kelas lain,-0.16444927190433578,1.5868670465502834,True,False
NB004_P02,NB004,Sawah Padi,Gondang,-7.485077357633294,111.95869574309158,-7.485077357633294,111.95869574309158,0,Padi,High,Ground Truth Negatif V4,1014,2597,1014_2597,0.0346999987959861,0.0507000014185905,0.0350000001490116,0.2379000037908554,0.1944999992847442,0.0996999964118003,0.7492163181304932,-0.6497409343719482,9,0.1111111111111111,1.0,0.1111111111111111,REVIEW,lebih dekat ke centroid kelas lain,-0.16444927190433578,1.5868670465502834,True,False
